,ACC,trial_id,Learning Method,Training Size,partition_random_state,currerent_fold,data_percentage
94,85.29013061523438,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
95,85.6004409790039,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
96,84.94631958007812,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
97,84.31841278076172,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
98,84.88221740722656,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
99,84.97254180908203,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
100,86.14676666259766,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
101,85.20709228515625,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
102,85.76798248291016,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
103,85.07597351074219,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
104,85.82771301269531,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
105,85.29595947265625,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
106,85.9267807006836,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
107,82.80036926269531,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
108,84.24848175048828,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
109,84.38397216796875,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
110,84.97691345214844,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
111,85.01042175292969,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
112,84.73652648925781,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
113,85.5698471069336,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
114,85.93989562988281,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
115,84.14213562011719,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
116,85.62812805175781,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
117,85.32073211669922,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
